benchmark,model,sample_id,n_units,keep_ratio,spearman_pre_post,kendall_pre_post,jaccard_topk,mean_edge_pre_keep_post_drop,mean_edge_post_keep_pre_drop,frac_high_edge_pre_keep_post_drop,frac_high_edge_post_keep_pre_drop,rank_shift_edge_rho,unit_grid_h,unit_grid_w
docvqa,Qwen/Qwen3-VL-8B-Instruct,41695,3657,0.25,0.07504490064632761,0.05072853457631606,0.1971185330713818,0.3622894853592408,0.34994477884985237,0.6280587275693311,0.2969004893964111,0.11567096072604145,138,106
docvqa,Qwen/Qwen3-VL-8B-Instruct,57807,1265,0.25,0.11899379146208067,0.07693750938109772,0.10296684118673648,0.503923504037152,0.285883701823159,0.9649805447470817,0.4669260700389105,0.3768687020869595,46,110
docvqa,Qwen/Qwen3-VL-8B-Instruct,305,3300,0.25,0.2940001871353374,0.20135414784591815,0.24153498871331827,0.8579712522205516,0.12244414627856973,0.9880952380952381,0.35119047619047616,0.41779510343824905,100,132
docvqa,Qwen/Qwen3-VL-8B-Instruct,58268,4503,0.25,0.09286366499438152,0.06228594466110087,0.14722363728986246,0.8128859703534749,0.13314640716290801,1.0,0.44802867383512546,0.5341063942807364,158,114
docvqa,Qwen/Qwen3-VL-8B-Instruct,678,3468,0.25,0.11271138664521287,0.07725252639506397,0.19339298004129388,0.6482167205209196,0.0303540755241204,0.9641638225255973,0.1348122866894198,0.46630255511814855,136,102
docvqa,Qwen/Qwen3-VL-8B-Instruct,1015,3710,0.25,0.06505634359333165,0.04089652420386153,0.1021377672209026,0.9319218040971213,0.06512511744202348,1.0,0.2804232804232804,0.5602852483888351,140,106
docvqa,Qwen/Qwen3-VL-8B-Instruct,32896,3976,0.25,0.2208106002982867,0.14742761235860713,0.18052256532066507,0.3140862413823767,0.052708740730641704,0.9739130434782609,0.5333333333333333,0.34198247584519365,142,112
docvqa,Qwen/Qwen3-VL-8B-Instruct,58302,3657,0.25,0.29058389732638296,0.19878910886083295,0.3362573099415205,0.49609334270641264,0.040451057207573714,0.8149779735682819,0.09030837004405286,0.37860261642012216,106,138
docvqa,Qwen/Qwen3-VL-8B-Instruct,16568,3726,0.25,0.017857972043784948,0.014559760691946037,0.09711595055915244,0.9171819741676186,0.047177984385516576,1.0,0.20208604954367665,0.638925224025205,138,108
docvqa,Qwen/Qwen3-VL-8B-Instruct,58009,3657,0.25,-0.13882415061798112,-0.08675339323365334,0.06838106370543542,0.940801727913853,0.02913401270433105,1.0,0.14554579673776663,0.733586441000381,138,106
docvqa,Qwen/Qwen3-VL-8B-Instruct,49401,1375,0.25,0.08537222688959258,0.059279608310175994,0.11507293354943274,0.6363901492385637,0.16104877505437795,0.9926739926739927,0.5457875457875457,0.4281950484390584,110,50
docvqa,Qwen/Qwen3-VL-8B-Instruct,364,3300,0.25,0.19964006043938115,0.13178173951367295,0.2177121771217712,0.5838995609242872,0.03012572480944965,0.9433962264150944,0.12641509433962264,0.45472470025271405,132,100
docvqa,Qwen/Qwen3-VL-8B-Instruct,49242,3850,0.25,0.23784253859626062,0.15955045291581402,0.23969072164948454,0.5000454996162308,0.06818105886554726,0.940677966101695,0.33559322033898303,0.3801240197896607,140,110
docvqa,Qwen/Qwen3-VL-8B-Instruct,57931,3763,0.25,0.09547245727564702,0.06347545537880725,0.19189360354654844,0.7873494002603556,0.034951318337351774,0.9811912225705329,0.2304075235109718,0.5113226284316873,142,106
docvqa,Qwen/Qwen3-VL-8B-Instruct,57880,3976,0.25,0.1947942992534308,0.12764540137565455,0.1925614877024595,0.5402197520986177,0.12625731078957667,0.9836552748885586,0.4561664190193165,0.3946373681234463,142,112
docvqa,Qwen/Qwen3-VL-8B-Instruct,58337,3710,0.25,0.4160593965690595,0.28862315344932915,0.35871156661786235,0.6076638422395819,0.19158608279552497,0.8287671232876712,0.3995433789954338,0.44148173014728825,140,106
docvqa,Qwen/Qwen3-VL-8B-Instruct,41687,3657,0.25,0.07504490064632761,0.05072853457631606,0.1971185330713818,0.3622894853592408,0.34994477884985237,0.6280587275693311,0.2969004893964111,0.11567096072604145,138,106
docvqa,Qwen/Qwen3-VL-8B-Instruct,463,3657,0.25,0.050592402406328105,0.030178783243577104,0.13540372670807455,0.9196534739999935,0.08281940579690043,1.0,0.28879310344827586,0.575133715851533,138,106
docvqa,Qwen/Qwen3-VL-8B-Instruct,57532,3975,0.25,0.3244937415904906,0.22384778540000153,0.24483406386975579,0.1842221435624889,0.14669473081833728,0.6981757877280266,0.7694859038142621,-0.11356164497141479,150,106
